keywords,num
外观,215
速度,210
屏幕,203
电池,201
拍照,188
续航,184
性价比,156
好看,154
手感,132
系统,121
降价,100
物流,95
充电,93
外形,87
打游戏,86
发货,84
性能,81
价格,68
颜值,63
客服,63
颜色,61
质量,60
音效,60
待机时间,58
玩游戏,53
大气,46
很漂亮,45
电量,43
白色,42
质感,41
